Reaction	Metabolite	Compartment	Stoichiometry	Subsystem
pqq_transport	pqq	Extra-organism	-1	
pqq_transport	pqq	Cytosol	1	
23bpg_generation	23bpg	Cytosol	1	ARTIFICIAL, CHECK!
dpm_import	dpm	Cytosol	1	
tl_generation	tl	Cytosol	1	
Cs_peri_import	cs	Extra-organism	-1	
Cs_peri_import	cs	Periplasm	1	
Cs_cyto_import	cs	Periplasm	-1	
Cs_cyto_import	h	Cytosol	1	
Cs_cyto_import	cs	Cytosol	1	
Cs_cyto_import	h	Periplasm	-1	
hemeD_synthesis	h2o2	Cytosol	-1	
hemeD_synthesis	hemed	Cytosol	1	
hemeD_synthesis	pheme	Cytosol	-1	
acp_lipoate_synthase	EG50003-MONOMER_mod_pan4p_mod_oc	Cytosol	-1	
acp_lipoate_synthase	EG50003-MONOMER_mod_pan4p_mod_lipo	Cytosol	1	
acp_lipoate_synthase	amet	Cytosol	-2	
acp_lipoate_synthase	met__L	Cytosol	2	
acp_lipoate_synthase	dad__5	Cytosol	2	
acp_lipoate_synthase	CPLX0-782_mod_2:4fe4s	Cytosol	-1	
acp_lipoate_synthase	CPLX0-782_mod_1:2fe2s_mod_1:4fe4s	Cytosol	1	
acp_lipoate_synthase	fe2	Cytosol	2	
acp_lipoate_synthase	h	Cytosol	-1	
acp_lipoate_synthase	nad	Cytosol	-1	
acp_lipoate_synthase	nadh	Cytosol	1	
CPLX0-782_mod_4fe4s_regeneration	CPLX0-782_mod_1:2fe2s_mod_1:4fe4s	Cytosol	-1	
CPLX0-782_mod_4fe4s_regeneration	2fe2s	Cytosol	-1	
CPLX0-782_mod_4fe4s_regeneration	CPLX0-782_mod_2:4fe4s	Cytosol	1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	CPLX0-1341_mod_1:2fe2s_mod_2:fe2	Cytosol	1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	CPLX0-1341_mod_1:2fe2s_mod_1:fe2	Cytosol	-1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	adp	Cytosol	1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	pi	Cytosol	1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	atp	Cytosol	-1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	fe2	Cytosol	-1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	h2o	Cytosol	-1	
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading	h	Cytosol	1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	atp	Cytosol	-1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	fe2	Cytosol	-1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	CPLX0-1341_mod_1:2fe2s_mod_1:fe2	Cytosol	1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	CPLX0-1341_mod_1:2fe2s	Cytosol	-1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	pi	Cytosol	1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	adp	Cytosol	1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	h2o	Cytosol	-1	
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading	h	Cytosol	1	
2Fe2S_to_IscA_by_IscU	pi	Cytosol	1	
2Fe2S_to_IscA_by_IscU	IscU	Cytosol	1	
