Reaction,Metabolite,Compartment,Stoichiometry,Component Type,Subsystem,Notes
pqq_transport,pqq,Extra-organism,-1,Metabolite,,
pqq_transport,pqq,Cytosol,1,Metabolite,,
23bpg_generation,23bpg,Cytosol,1,Metabolite,,ARTIFICIAL--CHECK!
dpm_import,dpm,Cytosol,1,Metabolite,,
tl_generation,tl,Cytosol,1,Metabolite,,
Cs_peri_import,cs,Extra-organism,-1,Metabolite,,
Cs_peri_import,cs,Periplasm,1,Metabolite,,
Cs_cyto_import,cs,Periplasm,-1,Metabolite,,
Cs_cyto_import,h,Cytosol,1,Metabolite,,
Cs_cyto_import,cs,Cytosol,1,Metabolite,,
Cs_cyto_import,h,Periplasm,-1,Metabolite,,
hemeD_synthesis,h2o2,Cytosol,-1,Metabolite,,
hemeD_synthesis,hemed,Cytosol,1,Metabolite,,
hemeD_synthesis,pheme,Cytosol,-1,Metabolite,,
acp_lipoate_synthase,EG50003-MONOMER_mod_pan4p_mod_oc,,-1,Complex,,
acp_lipoate_synthase,EG50003-MONOMER_mod_pan4p_mod_lipo,,1,Complex,,
acp_lipoate_synthase,amet,Cytosol,-2,Metabolite,,
acp_lipoate_synthase,met__L,Cytosol,2,Metabolite,,
acp_lipoate_synthase,dad__5,Cytosol,2,Metabolite,,
acp_lipoate_synthase,CPLX0-782_mod_2:4fe4s,,-1,Complex,,
acp_lipoate_synthase,CPLX0-782_mod_1:2fe2s_mod_1:4fe4s,,1,Complex,,
acp_lipoate_synthase,fe2,Cytosol,2,Metabolite,,
acp_lipoate_synthase,h,Cytosol,-1,Metabolite,,
acp_lipoate_synthase,nad,Cytosol,-1,Metabolite,,
acp_lipoate_synthase,nadh,Cytosol,1,Metabolite,,
CPLX0-782_mod_4fe4s_regeneration,CPLX0-782_mod_1:2fe2s_mod_1:4fe4s,,-1,Complex,,
CPLX0-782_mod_4fe4s_regeneration,2fe2s,Cytosol,-1,Metabolite,,
CPLX0-782_mod_4fe4s_regeneration,CPLX0-782_mod_2:4fe4s,,1,Complex,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,CPLX0-1341_mod_1:2fe2s_mod_2:fe2,,1,Complex,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,CPLX0-1341_mod_1:2fe2s_mod_1:fe2,,-1,Complex,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,adp,Cytosol,1,Metabolite,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,pi,Cytosol,1,Metabolite,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,atp,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,fe2,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,h2o,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2S_mod_1:fe2atp_mediated_FE_loading,h,Cytosol,1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,atp,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,fe2,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,CPLX0-1341_mod_1:2fe2s_mod_1:fe2,,1,Complex,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,CPLX0-1341_mod_1:2fe2s,,-1,Complex,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,pi,Cytosol,1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,adp,Cytosol,1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,h2o,Cytosol,-1,Metabolite,,
SufBCD_mod_1:2Fe2Satp_mediated_FE_loading,h,Cytosol,1,Metabolite,,
2Fe2S_to_IscA_by_IscU,pi,Cytosol,1,Metabolite,,
2Fe2S_to_IscA_by_IscU,IscU,,1,Complex,,
2Fe2S_to_IscA_by_IscU,IscA_tetra,,-1,Complex,,
2Fe2S_to_IscA_by_IscU,atp,Cytosol,-1,Metabolite,,
2Fe2S_to_IscA_by_IscU,IscA_tetra_mod_1:2fe2s,,1,Complex,,
2Fe2S_to_IscA_by_IscU,IscU_mod_1:2fe2s,,-1,Complex,,
2Fe2S_to_IscA_by_IscU,adp,Cytosol,1,Metabolite,,
2Fe2S_to_IscA_by_IscU,h2o,Cytosol,-1,Metabolite,,
2Fe2S_to_IscA_by_IscU,h,Cytosol,1,Metabolite,,
4Fe4S_to_ErpA_by_IscU,CPLX0-7617,,-1,Complex,,
4Fe4S_to_ErpA_by_IscU,pi,Cytosol,1,Metabolite,,
4Fe4S_to_ErpA_by_IscU,CPLX0-7617_mod_1:4fe4s,,1,Complex,,
4Fe4S_to_ErpA_by_IscU,IscU,,1,Complex,,
4Fe4S_to_ErpA_by_IscU,IscU_mod_1:4fe4s,,-1,Complex,,
4Fe4S_to_ErpA_by_IscU,atp,Cytosol,-1,Metabolite,,
4Fe4S_to_ErpA_by_IscU,adp,Cytosol,1,Metabolite,,
4Fe4S_to_ErpA_by_IscU,h2o,Cytosol,-1,Metabolite,,
4Fe4S_to_ErpA_by_IscU,h,Cytosol,1,Metabolite,,
4Fe4S_to_IscA_by_IscU,pi,Cytosol,1,Metabolite,,
4Fe4S_to_IscA_by_IscU,IscU,,1,Complex,,
4Fe4S_to_IscA_by_IscU,IscA_tetra,,-1,Complex,,
4Fe4S_to_IscA_by_IscU,atp,Cytosol,-1,Metabolite,,
4Fe4S_to_IscA_by_IscU,IscU_mod_1:4fe4s,,-1,Complex,,
4Fe4S_to_IscA_by_IscU,IscA_tetra_mod_1:4fe4s,,1,Complex,,
4Fe4S_to_IscA_by_IscU,adp,Cytosol,1,Metabolite,,
4Fe4S_to_IscA_by_IscU,h2o,Cytosol,-1,Metabolite,,
4Fe4S_to_IscA_by_IscU,h,Cytosol,1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,atp,Cytosol,-1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,fe2,Cytosol,-1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,CPLX0-1341_mod_1:fe2,,-1,Complex,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,adp,Cytosol,1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,pi,Cytosol,1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,CPLX0-1341_mod_2:fe2,,1,Complex,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,h2o,Cytosol,-1,Metabolite,,
SufBCD_mod_1:fe2atp_mediated_FE_loading,h,Cytosol,1,Metabolite,,
2Fe2S_to_SufA_by_IscU,pi,Cytosol,1,Metabolite,,
2Fe2S_to_SufA_by_IscU,IscU,,1,Complex,,
2Fe2S_to_SufA_by_IscU,atp,Cytosol,-1,Metabolite,,
2Fe2S_to_SufA_by_IscU,IscU_mod_1:2fe2s,,-1,Complex,,
2Fe2S_to_SufA_by_IscU,CPLX0-7824,,-1,Complex,,
2Fe2S_to_SufA_by_IscU,adp,Cytosol,1,Metabolite,,
2Fe2S_to_SufA_by_IscU,CPLX0-7824_mod_1:2fe2s,,1,Complex,,
2Fe2S_to_SufA_by_IscU,h2o,Cytosol,-1,Metabolite,,
2Fe2S_to_SufA_by_IscU,h,Cytosol,1,Metabolite,,
4Fe4S_to_SufA_by_IscU,pi,Cytosol,1,Metabolite,,
4Fe4S_to_SufA_by_IscU,IscU,,1,Complex,,
4Fe4S_to_SufA_by_IscU,IscU_mod_1:4fe4s,,-1,Complex,,
4Fe4S_to_SufA_by_IscU,atp,Cytosol,-1,Metabolite,,
4Fe4S_to_SufA_by_IscU,CPLX0-7824,,-1,Complex,,
4Fe4S_to_SufA_by_IscU,CPLX0-7824_mod_1:4fe4s,,1,Complex,,
4Fe4S_to_SufA_by_IscU,adp,Cytosol,1,Metabolite,,
4Fe4S_to_SufA_by_IscU,h2o,Cytosol,-1,Metabolite,,
4Fe4S_to_SufA_by_IscU,h,Cytosol,1,Metabolite,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_1:2Fe1S,IscU_mod_1:2fe2s_mod_1:2fe1s,,-1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_1:2Fe1S,IscU_mod_2:2fe2s,,1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_1:2Fe1S,IscS_mod_2:pydx5p,,1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_1:2Fe1S,IscS_mod_2:pydx5p_mod_1:SH,,-1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_2:fe2,IscU_mod_1:2fe2s_mod_1:2fe1s,,1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_2:fe2,IscS_mod_2:pydx5p,,1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_2:fe2,IscU_mod_1:2fe2s_mod_2:fe2,,-1,Complex,,
S_transfer_to_IscU_mod_1:2Fe2S_mod_2:fe2,IscS_mod_2:pydx5p_mod_1:SH,,-1,Complex,,
S_transfer_to_IscU_mod_2:fe2,IscU_mod_2:fe2,,-1,Complex,,
S_transfer_to_IscU_mod_2:fe2,IscS_mod_2:pydx5p,,1,Complex,,
S_transfer_to_IscU_mod_2:fe2,IscS_mod_2:pydx5p_mod_1:SH,,-1,Complex,,
S_transfer_to_IscU_mod_2:fe2,IscU_mod_1:2fe1s,,1,Complex,,
S_transfer_to_SufBCD_mod_1:2Fe2S_mod_1:2Fe1S,CPLX0-246_CPLX0-1342_mod_pydx5p,,1,Complex,,
